character,movie,time
Sybil Trelawney</a,Prisoner of Azkaban,165
Sybil Trelawney</a,Goblet of Fire,0
Sybil Trelawney</a,Order of the Phoenix,120
Sybil Trelawney</a,Half-Blood Prince,0
Sybil Trelawney</a,"Deathly Hallows, Part I",15
Sybil Trelawney</a,"Deathly Hallows, Part II",15
Katie Bell</a,Philosopher's/Sorcerer's Stone,30
Katie Bell</a,Chamber of Secrets,30
Katie Bell</a,Prisoner of Azkaban,0
Katie Bell</a,Goblet of Fire,0
Katie Bell</a,Order of the Phoenix,0
Katie Bell</a,Half-Blood Prince,60
Katie Bell</a,"Deathly Hallows, Part I",45
Katie Bell</a,"Deathly Hallows, Part II",45
Arthur Weasley</a,Philosopher's/Sorcerer's Stone,0
Arthur Weasley</a,Chamber of Secrets,150
Arthur Weasley</a,Prisoner of Azkaban,105
Arthur Weasley</a,Goblet of Fire,150
Arthur Weasley</a,Order of the Phoenix,210
Arthur Weasley</a,Half-Blood Prince,165
Arthur Weasley</a,"Deathly Hallows, Part I",105
Arthur Weasley</a,"Deathly Hallows, Part II",60
Igor Karkaroff</a,Philosopher's/Sorcerer's Stone,0
Igor Karkaroff</a,Chamber of Secrets,0
Igor Karkaroff</a,Prisoner of Azkaban,0
Igor Karkaroff</a,Goblet of Fire,195
Igor Karkaroff</a,Order of the Phoenix,0
Igor Karkaroff</a,Half-Blood Prince,0
Igor Karkaroff</a,"Deathly Hallows, Part I",0
Igor Karkaroff</a,"Deathly Hallows, Part II",0
Mundungus Fletcher</a,Philosopher's/Sorcerer's Stone,0
Mundungus Fletcher</a,Chamber of Secrets,0
Mundungus Fletcher</a,Prisoner of Azkaban,0
Mundungus Fletcher</a,Goblet of Fire,0
Mundungus Fletcher</a,Order of the Phoenix,0
Mundungus Fletcher</a,Half-Blood Prince,0
Mundungus Fletcher</a,"Deathly Hallows, Part I",180
Mundungus Fletcher</a,"Deathly Hallows, Part II",0
Professor Quirinus Quirrell</a,Philosopher's/Sorcerer's Stone,420
Professor Quirinus Quirrell</a,Chamber of Secrets,0
Professor Quirinus Quirrell</a,Prisoner of Azkaban,0
Professor Quirinus Quirrell</a,Goblet of Fire,0
Professor Quirinus Quirrell</a,Order of the Phoenix,0
Professor Quirinus Quirrell</a,Half-Blood Prince,0
Professor Quirinus Quirrell</a,"Deathly Hallows, Part I",0
Professor Quirinus Quirrell</a,"Deathly Hallows, Part II",0
Uncle Vernon Dursley</a,Philosopher's/Sorcerer's Stone,240
Uncle Vernon Dursley</a,Chamber of Secrets,150
Uncle Vernon Dursley</a,Prisoner of Azkaban,180
Uncle Vernon Dursley</a,Goblet of Fire,0
Uncle Vernon Dursley</a,Order of the Phoenix,75
Uncle Vernon Dursley</a,Half-Blood Prince,0
Uncle Vernon Dursley</a,"Deathly Hallows, Part I",15
Uncle Vernon Dursley</a,"Deathly Hallows, Part II",0
Angelina Johnson</a,Philosopher's/Sorcerer's Stone,30
Angelina Johnson</a,Chamber of Secrets,30
Angelina Johnson</a,Prisoner of Azkaban,30
Angelina Johnson</a,Goblet of Fire,15
Angelina Johnson</a,Order of the Phoenix,0
Angelina Johnson</a,Half-Blood Prince,0
Angelina Johnson</a,"Deathly Hallows, Part I",0
Angelina Johnson</a,"Deathly Hallows, Part II",0
Xenophilius Lovegood</a,Philosopher's/Sorcerer's Stone,0
Xenophilius Lovegood</a,Chamber of Secrets,0
Xenophilius Lovegood</a,Prisoner of Azkaban,0
Xenophilius Lovegood</a,Goblet of Fire,0
Xenophilius Lovegood</a,Order of the Phoenix,0
Xenophilius Lovegood</a,Half-Blood Prince,0
Xenophilius Lovegood</a,"Deathly Hallows, Part I",300
Xenophilius Lovegood</a,"Deathly Hallows, Part II",0
James Potter</a,Philosopher's/Sorcerer's Stone,60
James Potter</a,Chamber of Secrets,0
James Potter</a,Prisoner of Azkaban,0
James Potter</a,Goblet of Fire,15
James Potter</a,Order of the Phoenix,30
