date,time,session_min
2017,15:55:12-05:00,1
2017,16:41:52-05:00,3
2017,16:49:57-05:00,12
2017,17:39:56-05:00,3
2017,17:46:53-05:00,2
2017,18:16:27-05:00,1
2017,18:24:06-05:00,3
2017,18:34:22-05:00,7
2017,18:43:22-05:00,2
2017,18:46:24-05:00,2
2017,19:06:41-05:00,1
2017,19:28:36-05:00,1
2017,19:43:08-05:00,5
2017,19:51:15-05:00,2
2017,20:15:40-05:00,1
2017,21:07:19-05:00,7
2017,22:47:31-05:00,9
2017,23:24:03-05:00,5
2017,23:45:06-05:00,15
2017,02:17:03-05:00,1
2017,04:18:31-05:00,17
2017,10:19:35-05:00,3
2017,13:13:41-05:00,12
2017,13:54:11-05:00,3
2017,14:06:33-05:00,2
2017,14:13:34-05:00,1
2017,14:16:20-05:00,1
2017,14:18:43-05:00,4
2017,14:26:12-05:00,1
2017,17:08:44-05:00,3
2017,17:24:47-05:00,1
2017,17:29:00-05:00,2
2017,17:43:05-05:00,1
2017,17:50:38-05:00,1
2017,17:57:23-05:00,1
2017,18:27:05-05:00,7
2017,18:49:14-05:00,10
2017,19:39:58-05:00,2
2017,19:47:31-05:00,37
2017,20:33:23-05:00,1
2017,20:40:52-05:00,40
2017,21:37:03-05:00,7
2017,00:37:47-05:00,1
2017,00:44:53-05:00,2
2017,00:51:41-05:00,19
2017,19:10:31-05:00,1
2017,19:18:32-05:00,1
2017,19:45:09-05:00,1
2017,20:19:08-05:00,2
2017,21:21:53-05:00,1
2017,21:38:36-05:00,1
2017,21:43:08-05:00,4
2017,23:32:58-05:00,12
2017,00:24:28-05:00,6
2017,09:18:08-05:00,19
2017,09:57:36-05:00,1
2017,10:08:45-05:00,3
2017,10:15:16-05:00,2
2017,12:19:56-05:00,1
2017,12:49:04-05:00,2
2017,12:54:55-05:00,12
2017,13:15:56-05:00,8
2017,14:41:12-05:00,1
2017,15:52:23-05:00,3
2017,16:23:05-05:00,2
2017,16:30:15-05:00,3
2017,17:03:33-05:00,2
2017,17:20:02-05:00,1
2017,17:35:04-05:00,2
2017,17:41:57-05:00,2
2017,17:48:10-05:00,2
2017,17:59:57-05:00,4
2017,18:52:56-05:00,3
2017,20:03:04-05:00,5
2017,20:11:56-05:00,2
2017,20:35:29-05:00,1
2017,20:39:06-05:00,3
2017,20:44:55-05:00,1
2017,20:48:39-05:00,5
2017,21:03:28-05:00,1
2017,21:05:28-05:00,2
2017,21:16:43-05:00,49
2017,22:08:22-05:00,6
2017,23:23:36-05:00,6
2017,23:54:30-05:00,1
2017,02:32:05-05:00,1
2017,02:35:16-05:00,3
2017,05:19:59-05:00,1
2017,07:37:03-05:00,2
2017,08:18:35-05:00,2
2017,10:10:13-05:00,1
2017,10:14:29-05:00,1
2017,10:21:30-05:00,4
2017,10:32:24-05:00,1
2017,11:37:36-05:00,1
2017,12:17:57-05:00,2
2017,12:25:46-05:00,1
2017,16:58:07-05:00,1
2017,17:02:29-05:00,1
2017,17:20:29-05:00,6
2017,17:32:44-05:00,5
2017,17:43:20-05:00,3
2017,18:03:29-05:00,5
2017,18:41:50-05:00,49
2017,21:21:49-05:00,9
2017,23:06:20-05:00,1
2017,00:14:36-05:00,9
2017,08:09:56-05:00,6
2017,08:47:22-05:00,1
2017,08:52:31-05:00,1
2017,09:03:20-05:00,3
2017,10:09:52-05:00,9
2017,10:34:36-05:00,1
2017,11:16:32-05:00,4
2017,11:39:28-05:00,1
2017,12:09:15-05:00,1
2017,12:12:18-05:00,1
2017,12:15:05-05:00,1
2017,12:25:22-05:00,1
2017,12:36:04-05:00,4
2017,12:57:23-05:00,5
2017,13:23:28-05:00,1
2017,13:27:11-05:00,2
2017,13:58:04-05:00,2
2017,14:07:54-05:00,24
2017,15:02:43-05:00,1
2017,15:06:15-05:00,2
